[29/Nov/2025:00:02:46 +0000] - GET /discord/stats 200 0.233 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:06:23 +0000] - GET /user/rakeback 200 26.826 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:06:27 +0000] - GET /slots?limit=25 200 61.709 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:06:27 +0000] - GET /discord/stats 200 5.572 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:06:27 +0000] - GET /discord/stats 200 8.943 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:06:27 +0000] - GET /discord/stats 200 1.826 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:27 +0000] - GET /user/notifications 200 69.632 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:34 +0000] - GET /slots?limit=25 200 35.426 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:34 +0000] - GET /discord/stats 200 0.876 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:34 +0000] - GET /discord/stats 200 0.675 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:34 +0000] - GET /discord/stats 200 1.059 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:07:50 +0000] - GET /cases 200 1.739 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:02 +0000] - POST /battles/create 200 334.011 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:06 +0000] - POST /battles/2/bot 200 197.171 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:07 +0000] - POST /battles/2/bot 200 222.308 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:08 +0000] - POST /battles/2/bot 200 245.528 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:22 +0000] - GET /slots?limit=25 200 40.973 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:22 +0000] - GET /discord/stats 200 1.291 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:22 +0000] - GET /discord/stats 200 1.113 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:22 +0000] - GET /discord/stats 200 0.983 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:37 +0000] - POST /trading/crypto/deposit/wallet 400 11.822 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:39 +0000] - GET /slots?limit=25 200 27.476 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:39 +0000] - GET /discord/stats 200 1.395 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:39 +0000] - GET /discord/stats 200 1.253 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:39 +0000] - GET /discord/stats 200 1.015 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[29/Nov/2025:15:08:49 +0000] - GET /leaderboard/daily 200 2.146 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:18 +0000] - GET /user 200 181.417 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:20 +0000] - GET /user/rakeback 200 2.611 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:20 +0000] - GET /slots?limit=25 200 34.781 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:20 +0000] - GET /discord/stats 200 0.686 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:20 +0000] - GET /discord/stats 200 0.254 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:08:20 +0000] - GET /discord/stats 200 0.184 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:13:20 +0000] - GET /discord/stats 200 0.351 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:13:20 +0000] - GET /discord/stats 200 0.255 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:13:20 +0000] - GET /discord/stats 200 0.211 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:04 +0000] - GET /slots?limit=25 200 24.418 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:04 +0000] - GET /discord/stats 200 0.156 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:04 +0000] - GET /discord/stats 200 0.739 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:04 +0000] - GET /discord/stats 200 0.334 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:11 +0000] - GET /user/notifications 200 52.692 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:15:16 +0000] - GET /user/notifications 200 49.776 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:18:48 +0000] - GET /user/notifications 200 51.453 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:20:04 +0000] - GET /discord/stats 200 0.218 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:20:04 +0000] - GET /discord/stats 200 0.174 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:20:04 +0000] - GET /discord/stats 200 0.300 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:21:17 +0000] - GET /user/notifications 200 51.142 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:21:21 +0000] - GET /user/notifications 200 50.179 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:20 +0000] - GET /user/3/profile 200 75.960 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:23 +0000] - GET /user/3/profile 200 79.430 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:32 +0000] - GET /user 200 51.005 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:32 +0000] - GET /user/rakeback 200 1.547 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:33 +0000] - GET /slots?limit=25 200 27.005 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:33 +0000] - GET /discord/stats 200 0.334 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:33 +0000] - GET /discord/stats 200 0.360 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:22:33 +0000] - GET /discord/stats 200 0.290 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:40 +0000] - GET /user 200 49.133 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:41 +0000] - GET /user/rakeback 200 0.823 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:42 +0000] - GET /slots?limit=25 200 24.245 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:42 +0000] - GET /discord/stats 200 0.220 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:42 +0000] - GET /discord/stats 200 0.194 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:23:42 +0000] - GET /discord/stats 200 0.171 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:06 +0000] - GET /user 200 49.408 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:06 +0000] - GET /user/rakeback 200 1.424 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:07 +0000] - GET /slots?limit=25 200 25.071 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:07 +0000] - GET /discord/stats 200 0.217 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:07 +0000] - GET /discord/stats 200 0.350 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:24:07 +0000] - GET /discord/stats 200 0.192 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:29:07 +0000] - GET /discord/stats 200 0.446 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:29:07 +0000] - GET /discord/stats 200 0.265 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:29:07 +0000] - GET /discord/stats 200 0.141 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:36 +0000] - GET /user 200 52.818 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:36 +0000] - GET /user/rakeback 200 2.649 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:37 +0000] - GET /slots?limit=25 200 24.448 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:37 +0000] - GET /discord/stats 200 0.403 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:37 +0000] - GET /discord/stats 200 0.377 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:37 +0000] - GET /discord/stats 200 0.440 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:44 +0000] - GET /user 200 125.143 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:44 +0000] - GET /user/rakeback 200 0.916 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:45 +0000] - GET /slots?limit=25 200 23.751 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:45 +0000] - GET /discord/stats 200 0.229 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:45 +0000] - GET /discord/stats 200 0.280 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:45 +0000] - GET /discord/stats 200 0.443 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /user 200 280.436 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /user/rakeback 200 1.691 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /slots?limit=25 200 115.020 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /discord/stats 200 0.385 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /discord/stats 200 0.355 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:30:59 +0000] - GET /discord/stats 200 0.310 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:31:12 +0000] - GET /user/notifications 200 63.981 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:34 +0000] - GET /user/notifications 200 65.173 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:50 +0000] - GET /user 200 50.327 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:52 +0000] - GET /user/rakeback 200 1.825 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:52 +0000] - GET /slots?limit=25 200 25.657 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:52 +0000] - GET /discord/stats 200 0.381 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:52 +0000] - GET /discord/stats 200 0.378 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:32:52 +0000] - GET /discord/stats 200 0.376 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:35 +0000] - GET /user 200 62.377 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:35 +0000] - GET /user/rakeback 200 1.233 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:36 +0000] - GET /slots?limit=25 200 26.044 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:36 +0000] - GET /discord/stats 200 0.314 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:36 +0000] - GET /discord/stats 200 0.181 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:33:36 +0000] - GET /discord/stats 200 0.181 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:13 +0000] - GET /user 200 59.898 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:14 +0000] - GET /user/rakeback 200 1.123 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:15 +0000] - GET /slots?limit=25 200 30.168 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:15 +0000] - GET /discord/stats 200 0.325 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:15 +0000] - GET /discord/stats 200 0.171 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:34:15 +0000] - GET /discord/stats 200 0.165 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:35:52 +0000] - GET /user 200 50.076 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:35:53 +0000] - GET /user/rakeback 200 1.821 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
[30/Nov/2025:01:35:54 +0000] - GET /slots?limit=25 200 26.062 ms - Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/142.0.0.0 Safari/537.36
